Date,Open,High,Low,Close,Adj Close,Volume
2020-04-16,1139.052856,1176.299805,1134.248413,1157.082031,1145.608154,17285802
2020-04-17,1204.581787,1218.450317,1181.451050,1212.506592,1200.483154,15353792
2020-04-20,1214.487915,1245.196777,1190.713257,1232.120728,1219.902588,16628269
2020-04-21,1198.638062,1240.243774,1153.070068,1225.731323,1213.576538,28322996
2020-04-22,1307.605225,1371.895752,1287.792969,1350.795776,1337.400879,65848350
2020-04-23,1354.510620,1372.836914,1340.592529,1358.027222,1344.560669,30211857
2020-04-24,1337.472046,1480.912476,1334.549805,1403.694336,1389.774902,62296159
2020-04-27,1420.534790,1461.149780,1409.638062,1416.324707,1402.280029,26989849
2020-04-28,1436.384521,1441.783325,1379.077759,1414.739624,1400.710693,36206232
2020-04-29,1431.332397,1440.000244,1406.666260,1413.550903,1399.533813,17303785
2020-04-30,1440.297363,1480.912476,1424.546753,1452.234253,1437.833496,32926121
2020-05-04,1426.478394,1451.243652,1404.140137,1421.723511,1407.625244,24670336
2020-05-05,1440.049805,1465.112183,1433.610840,1446.934448,1432.586182,20723079
2020-05-06,1450.253052,1471.006348,1431.926758,1447.033569,1432.684448,18685710
2020-05-07,1441.337524,1499.436890,1431.431519,1492.799805,1477.996704,23087436
2020-05-08,1530.492432,1565.064697,1522.666626,1547.134766,1531.792969,38887255
2020-05-11,1565.163818,1599.835205,1557.536133,1561.993896,1546.504761,30959745
2020-05-12,1550.106567,1553.623169,1451.243652,1465.359863,1450.828979,46465281
2020-05-13,1527.000000,1527.000000,1454.000000,1496.449951,1481.610718,30657492
2020-05-14,1469.000000,1496.699951,1430.050049,1435.949951,1421.710693,22736607
2020-05-15,1444.000000,1466.699951,1415.099976,1459.400024,1444.928345,28683258
2020-05-18,1470.000000,1482.000000,1428.000000,1440.750000,1426.463135,28980385
2020-05-19,1457.000000,1461.699951,1403.250000,1408.900024,1394.928955,19528760
2020-05-20,1410.000000,1446.849976,1393.000000,1433.699951,1419.483032,25530626
2020-05-21,1435.000000,1461.449951,1425.000000,1441.250000,1426.958130,18076017
2020-05-22,1451.800049,1458.000000,1426.500000,1431.550049,1417.354370,17458065
2020-05-26,1448.150024,1449.699951,1416.300049,1424.050049,1409.928833,15329472
2020-05-27,1431.000000,1454.000000,1412.000000,1445.550049,1431.215454,16460756
2020-05-28,1455.000000,1479.750000,1449.000000,1472.250000,1457.650757,18518271
2020-05-29,1468.000000,1472.000000,1452.650024,1464.400024,1449.878662,18470390
2020-06-01,1480.000000,1538.349976,1475.949951,1520.349976,1505.273682,18434012
