Date,Open,High,Low,Close,Adj Close,Volume
2020-04-16,57390.000000,62000.000000,57012.101563,60441.898438,60186.812500,22062
2020-04-17,61541.898438,62340.000000,61000.000000,61638.300781,61378.164063,15847
2020-04-20,62000.000000,62000.000000,61150.000000,61384.000000,61124.937500,9847
2020-04-21,60500.000000,60793.601563,58500.699219,58864.750000,58616.316406,12668
2020-04-22,58875.000000,59489.898438,57829.000000,58221.949219,57976.226563,14951
2020-04-23,58547.000000,59341.851563,58500.000000,58712.351563,58464.566406,8688
2020-04-24,58225.000000,59200.000000,58000.000000,58805.398438,58557.214844,8119
2020-04-27,59700.000000,60290.000000,58805.398438,59206.550781,58956.675781,7821
2020-04-28,59800.000000,59800.000000,58550.000000,59075.699219,58826.375000,6233
2020-04-29,59100.000000,59750.000000,58900.000000,59203.699219,58953.843750,8035
2020-04-30,59800.000000,61800.000000,59499.949219,60510.648438,60255.265625,18800
2020-05-04,59499.949219,59499.949219,57700.000000,57987.300781,57742.566406,9677
2020-05-05,58647.000000,59350.000000,57500.000000,57750.000000,57506.273438,9615
2020-05-06,58350.000000,58790.000000,57200.101563,58362.699219,58116.382813,8360
2020-05-07,58000.000000,59000.000000,58000.000000,58831.050781,58582.761719,7492
2020-05-08,58902.000000,59783.050781,58450.000000,58874.898438,58626.421875,9752
2020-05-11,59025.000000,59450.000000,58286.000000,58791.199219,58543.074219,12163
2020-05-12,58500.000000,58629.898438,57318.851563,57632.101563,57388.867188,8170
2020-05-13,58850.000000,60200.000000,58221.500000,59645.148438,59393.421875,16232
2020-05-14,58676.000000,59125.000000,57925.398438,58132.601563,57887.261719,6586
2020-05-15,58751.000000,58751.000000,57775.000000,58135.550781,57890.195313,8049
2020-05-18,58235.000000,58499.949219,56150.000000,56356.050781,56118.207031,9020
2020-05-19,56850.000000,57400.000000,56600.000000,56828.199219,56588.355469,6472
2020-05-20,57200.000000,57400.000000,56745.050781,57298.898438,57057.070313,7045
2020-05-21,57399.000000,58260.000000,57300.000000,57451.500000,57209.031250,4818
2020-05-22,57309.449219,57890.000000,57000.000000,57434.101563,57191.707031,4096
2020-05-26,57834.800781,58199.949219,57195.148438,57726.101563,57482.472656,6257
2020-05-27,57825.000000,58200.000000,57500.000000,58078.800781,57833.679688,5430
2020-05-28,57952.000000,58950.000000,57951.949219,58466.199219,58219.449219,6482
2020-05-29,58350.500000,59350.500000,58350.500000,59113.101563,58863.613281,7484
2020-06-01,59500.000000,62269.949219,59365.601563,61446.050781,61186.718750,11453
2020-06-02,61999.000000,63738.449219,61657.699219,62692.398438,62427.812500,11885
2020-06-03,63499.949219,64172.300781,61129.250000,61744.250000,61483.664063,14523
2020-06-04,61844.250000,62487.898438,60710.000000,61648.750000,61388.570313,11209
2020-06-05,61705.000000,63844.000000,61521.101563,63526.199219,63258.097656,13614
2020-06-08,63700.000000,65150.000000,63561.101563,64244.398438,63973.261719,15854
2020-06-09,64970.000000,64970.000000,63550.000000,63994.148438,63724.074219,12490
2020-06-10,63990.000000,64394.148438,63250.898438,63796.351563,63527.105469,7412
2020-06-11,63699.949219,64099.949219,62700.148438,62884.949219,62619.546875,7919
2020-06-12,61000.000000,64100.000000,59500.000000,63729.050781,63460.089844,11399
2020-06-15,64950.000000,65499.000000,62500.000000,62993.601563,62727.742188,16231
2020-06-16,63725.000000,64495.000000,62077.500000,62660.300781,62395.847656,9122
2020-06-17,62748.000000,63500.000000,62369.050781,62968.250000,62702.496094,7254
2020-06-18,62888.000000,63350.000000,62701.050781,62999.699219,62733.808594,4653
